Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2012.128737712/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x77cf01c31b3e32b567edcf745b4d852f6d50a0b8ea609d291f0c7223697d80eb,18522344,1699387427,2023-11-7 20:03,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.15E-16,4.33E-13,0.014785598,29.75052713,1886.12,,,Ty For The MEV
0xda5c5b081e8f26ac1efc5b7624fc2f91db072318ec6b5713237260800315de03,18522344,1699387427,2023-11-7 20:03,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,51.80268953,51.80268953,104233.6803,0.000699152,1.406783672,1886.12,,,Transfer
0x9f607516bcdcd1870d1824a9ea025116e5c946518d58fbd7c0fb3bd97b9ad050,18522425,1699388399,2023-11-7 20:19,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,1.00E-18,2.01E-15,0.067594006,136.0078412,1886.12,,,Ty For The MEV
0xae6afc7b211206841e107370d040e8b23f2fecd874634f5f50d54d66480db915,18522901,1699394135,2023-11-7 21:55,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.80E-17,1.97E-13,0.006563405,13.20641577,1886.12,,,Ty For The MEV
0xd18af4a0a6425d24db246756c7a2710a16ffa598053bce1b594725cf4e4cfd15,18522903,1699394159,2023-11-7 21:55,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.67E-15,1.95E-11,0.005321785,10.70811678,1886.12,,,Ty For The MEV
0x15771f39bba1dc4995798708d3a25220df1cf75a39144004aa7e3595ba8d857d,18522903,1699394159,2023-11-7 21:55,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.49E-15,1.91E-11,0.005221489,10.50630773,1886.12,,,Ty For The MEV
0xe80e2550f1979da05b0b80856ee0c99df78aa7c1540b0ca512e330a75853a1e8,18522903,1699394159,2023-11-7 21:55,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.04E-15,1.82E-11,0.00522087,10.50506328,1886.12,,,Ty For The MEV
0x5f3406c1a2e89ea43c3934a841370a50cc88db3c437cf76d71d9d238fbadeb79,18522903,1699394159,2023-11-7 21:55,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,4.68E-15,9.41E-12,0.006678646,13.43829456,1886.12,,,Ty For The MEV
0x8c88a3556e70754d75c325934659e45983649de0c3a0b4190301082809029107,18522903,1699394159,2023-11-7 21:55,0x25b71878850d008ec4237c55f0a59198bcc72b43,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,0.265721688,0,534.6662456,0.000541167,1.088897751,1886.12,,,Transfer
0x5211eff9c10fa0ae31c576e6e7516b1334eac6c813c25fc0d3e15646d2a6e705,18523092,1699396427,2023-11-7 22:33,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.93E-16,5.90E-13,0.008675525,17.45627328,1886.12,,,Ty For The MEV
0xaeca841910436b8a4601674cb2a728e77b0de3287371a3d3d4723762317db139,18523092,1699396427,2023-11-7 22:33,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.70E-16,5.43E-13,0.00650022,13.07928039,1886.12,,,Ty For The MEV
0x22e42ace15efc629f43b4f6b429a26d3b1a968935c16e8e54acac32152eba23d,18523092,1699396427,2023-11-7 22:33,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.55E-16,5.13E-13,0.00650022,13.07928039,1886.12,,,Ty For The MEV
0xb58c708276c826c22ba3f631c5353a47ab7665ec6f7d092f609098a394bbbe9e,18523092,1699396427,2023-11-7 22:33,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.34E-16,4.71E-13,0.003086124,6.209677816,1886.12,Error(0),execution reverted,Ty For The MEV
0x000ee71a4db54e3ae885f57d192c254a353b6bcfe8b44c90fbff2be051288dcd,18523092,1699396427,2023-11-7 22:33,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,52.19419404,52.19419404,105021.4378,0.000503321,1.012746262,1886.12,,,Transfer
0xedff4992f6b9568de5d49169fe7d8f26a73fbbcf47308a9f2ffcdc708c5cb8d2,18523345,1699399475,2023-11-7 23:24,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.94E-15,2.00E-11,0.015341708,30.86949236,1886.12,,,Ty For The MEV
0xf79d1288d712d34831a16d77450a414f46fbe79947021bf2f68b639b7077b971,18523345,1699399475,2023-11-7 23:24,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.92E-15,2.00E-11,0.018437029,37.09767685,1886.12,,,Ty For The MEV
0x5c7d5455165e1aafd3afa12169b34a3805d53b8da3f64c5bdb9c7a4c3dfe272a,18523345,1699399475,2023-11-7 23:24,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,8.67E-15,1.74E-11,0.016122692,32.4409325,1886.12,,,Ty For The MEV
0x514a9b6e1a6d02100e16649b2d8b44974d4c52953436b22ae2f2026b5917feae,18523345,1699399475,2023-11-7 23:24,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,8.50E-15,1.71E-11,0.01636306,32.92458244,1886.12,,,Ty For The MEV
0x3b208a2d1ea8e2c871bffea57d7ffb35d41fe85ff02746504d9f7c560a3fc821,18523345,1699399475,2023-11-7 23:24,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.98E-15,2.01E-11,0.033185251,66.77299672,1886.12,,,Ty For The MEV
0x2877b6069149ea83033202d874beed29dfa58d23dd39e4ab2999320b447ff590,18523345,1699399475,2023-11-7 23:24,0x25b71878850d008ec4237c55f0a59198bcc72b43,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,20.02142014,0,40285.67484,0.0005685,1.143895558,1886.12,,,Transfer
0x8e4b9dc2b1926eefe93d90d344b63b3959f4e49cb490d6dbb8a4affc906818d8,18523614,1699402727,2023-11-8 0:18,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,6.30E-17,1.27E-13,0.010838088,21.80762791,1889.05,,,Ty For The MEV
